Row data,T F from app,Place
CE CD 6C CE 00 9A 02 25 60 01 0C 08 0D 01,80,Под лежанкой
CE CD 6C CE 00 56 02 27 5C 01 0C 08 0D 1B,67.5,Возле ворот и термокамеры
CE CD 6C CE 00 56 02 27 5C 01 0C 08 0D 1C,67.5,Возле ворот и термокамеры
CE CD 6C CE 00 56 02 27 5D 01 0C 08 0D 1D,67.5,Возле ворот и термокамеры
CE CD 6C CE 00 42 02 29 5C 01 0C 08 0D 2B,64,Внизу ворот
CE CD 6C CE 00 42 02 29 5C 01 0C 08 0D 2D,64,Внизу ворот
CE CD 6C CE 00 41 02 29 5C 01 0C 08 0D 2E,63.8,Внизу ворот
CE CD 6C CE 00 99 01 42 57 01 0C 08 0D 3A,33.6,Улица
CE CD 6C CE 00 98 01 42 57 01 0C 08 0D 3A,33.4,Улица
CE CD 6C CE 00 00 00 42 57 01 0C 08 0D 3A,-40,Улица
CE CD 6C CE 00 98 01 42 57 01 0C 08 0D 3A,33.4,Улица
CE CD 6C CE 00 D8 02 24 5F 01 0C 08 12 2A,91,Ящик
CE CD 6C CE 00 D7 02 24 5F 01 0C 08 12 2A,90.9,Ящик
CE CD 6C CE 00 D9 02 24 5F 01 0C 08 12 2A,91.2,Ящик
CE CD 6C CE 00 0C 02 4E 5C 01 0C 08 13 38,54.3,Камера
CE CD 6C CE 00 0D 02 4E 5C 01 0C 08 13 39,54.5,Камера
CE CD 6C CE 00 0E 02 4E 5C 01 0C 08 13 3A,54.7,Камера
CE CD 6C CE 00 0F 02 48 5C 01 0C 08 14 00,54.9,Камера
